date	title	speaker	belonging
2009-07-17	パターン、Wiki、XP、そしてRuby 	江渡 浩一郎	独立行政法人 産業技術総合研究所
2009-07-17	Ruby/Tkは本当にダメな子なのか？ 	永井 秀利	九州工業大学/Rubyist九州
2009-07-17	たぶん一番かんたんなRails on GAE/J 	あんどうやすし	シーサー株式会社
2009-07-17	IronRuby on Rails 	荒井 省三	
2009-07-17	むいちゃいました（仮） 	gaooh	株式会社ドリコム
2009-07-17	Wakameで手早くRailsを大規模サイトにする 	山崎泰宏	株式会社あくしゅ
2009-07-17	JCLのご紹介 	相澤歩	アクセンチュア・テクノロジー・ソリューションズ（株）
2009-07-17	Arabesque, a brand new Ruby queue 	Mohammad A. Ali	eSpace
2009-07-17	MiyazakiResistanceを作ってみたよ 	おおいしつかさ	食べログ(カカクコム)
2009-07-17	ローカル環境向けKey-Valueストアの紹介（仮） 	こしば としあき	
2009-07-17	WebスタートアップにやさしいRailsの育て方 	松本一輝	ランゲート株式会社
2009-07-18	次世代数値演算ライブラリDecimalという再発明の意義 	斎藤ただし	筑波大学情報学類科目等履修生
2009-07-18	Morumotto, a jruby-based OpenID service using visual authentication 	Han Kessels	Hanamaru K.K.
2009-07-18	Ruby on Arduino 	高野光弘	日本UNIXユーザ会
2009-07-18	Monitoring the sun with Ruby 	Benjamin Smith	Enphase Energy
2009-07-18	RomanticRuby!(Rubyでギャルゲー) 	久保優子	株式会社万葉
2009-07-18	rubyrep - database replication that doesn't hurt (developed in ruby) 	Arndt Lehmann	TUV Rheinland Japan Ltd.
2009-07-18	BABY - 初心者のためのグラフィックライブラリ 	黒田 拓	北海道大学 大学院理学院
2009-07-18	Facing your daemons 	Kenneth Kalmer	
2009-07-18	Rubyでの(力技)でのネットワーク運用 	植村優一(u-ichi)	NTTcommunications
2009-07-18	rubyによるお手軽CDN作成のすすめ 	荒木靖宏	Debian Project
2009-07-18	ActiveLdap 	須藤功平	株式会社クリアコード
